site_key,section,nav_links,arts_found,held_pct,raw_status,bucket,sample_url,decision
fj_wlt,/jggk/,6,39,0,missing_have_scraper,crawl_now,https://wlt.fujian.gov.cn/jggk/zyzz/201911/t20191112_5090065.htm,crawl_now
bjd_dongcheng,/zfxxgkzl/,6,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
fj_jgswglj,/jggk/,6,2,0,missing_have_scraper,crawl_now,http://jgswglj.fujian.gov.cn/jggk/dwgk/201909/t20190917_5024649.htm,crawl_now
xjtc,/content/,9,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
liuzhou,/tyjrswj/,2,24,0,missing_have_scraper,crawl_now,http://www.liuzhou.gov.cn/tyjrswj/xwzx/gzyw/202609/t20260907_3791937.shtml,crawl_now
liuzhou,/lzcyyq/,2,16,0,missing_have_scraper,crawl_now,http://www.liuzhou.gov.cn/lzcyyq/xwzx/bmdt/202609/t20260914_3794391.shtml,crawl_now
shuozhou_c2,/xxgk/,26,15,80,already_crawled,have,http://www.shuozhou.gov.cn/xxgk/jcjd/202603/t20260331_767791.shtml,have
shijiazhuang,/zfxxgk/,6,30,0,missing_have_scraper,crawl_now,https://www.sjz.gov.cn/zfxxgk/columns/5bd78e78-cfaa-448d-9a92-19964726520b/202608/21/b41edba9-be6d-46fd-bc0d-2fe015531fa1.html,defer_body_fix
fj_bb,/xxgk/,6,8,0,missing_have_scraper,crawl_now,https://bb.fujian.gov.cn/xxgk/jgdj/202605/t20260506_7144621.htm,crawl_now
wuhu,/content/,3,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
cq_tyj,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
wuxi,/zfxxgk/,25,36,53,already_crawled,have,https://www.wuxi.gov.cn/doc/2025/07/17/4702653.shtml,have
fj_gat,/zfxxgk/,17,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
cq_gxq,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
cq_sww,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
spc,/fabu.html/,2,0,0,needs_new_scraper,build_scraper,,build_scraper
shb_yjj,/ypylqxcpzczxxgg/,2,20,0,missing_have_scraper,crawl_now,https://yjj.sh.gov.cn/ypylqxcpzczxxgg/20260908/d1fa6b6dbf114d27b0b75129960000c8.html,crawl_now
shb_yjj,/zcztc/,2,14,0,missing_have_scraper,crawl_now,https://yjj.sh.gov.cn/zx-ylqx/20260908/0e43e6ebccdb49ea8e1ddbc301f1a013.html,crawl_now
shb_yjj,/zcjd/,2,20,0,missing_have_scraper,crawl_now,https://yjj.sh.gov.cn/zcjd/20260903/a1563031cf324e04b1b0533fd163fd59.html,crawl_now
gdyjt,/gk/,50,43,0,missing_have_scraper,crawl_now,https://yjgl.gd.gov.cn/gk/zfxxgk/content/post_2472412.html,crawl_now
fj_tyj,/gkxx/,43,4,25,missing_have_scraper,crawl_now,https://tyj.fujian.gov.cn/gkxx/ldxx/yds/grjl_yds/202111/t20211103_5764303.htm,crawl_now
nx_jst,/ggbf/,2,0,0,needs_new_scraper,build_scraper,,build_scraper
shizuishan,/szsgk/,10,48,0,missing_have_scraper,crawl_now,https://www.shizuishan.gov.cn/szsgk/szsly/yzszs/202508/t20250827_5001093.html,crawl_now
nx_jtt,/zfxxgk/,33,25,0,missing_have_scraper,crawl_now,https://jtt.nx.gov.cn/zfxxgk/zfxxgkml/zdlygk/jtjsxmztb/zbgg/202609/t20260910_5342400.html,crawl_now
nx_jtt,/ggbf/,10,0,0,needs_new_scraper,build_scraper,,build_scraper
nx_whhlyt,/ggbf/,3,0,0,needs_new_scraper,build_scraper,,build_scraper
linzhi,/zfxxgkpt/,13,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
nx_dofcom,/zcfb/,29,19,5,missing_have_scraper,crawl_now,https://dofcom.nx.gov.cn/zcfb/swzc_42666/202609/t20260911_5342625.html,crawl_now
nx_czt,/ggbf/,6,0,0,needs_new_scraper,build_scraper,,build_scraper
changde,/zwgk/,24,0,0,needs_new_scraper,build_scraper,,build_scraper
changde,/content/,13,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
changde,/cdzcfw/,3,0,0,needs_new_scraper,build_scraper,,build_scraper
tonghua,/ldzc/,5,22,9,missing_have_scraper,crawl_now,https://www.tonghua.gov.cn/ldzc/zfld/msz/202601/t20260104_760270.html,crawl_now
xz_swt,/xxgk/,81,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
